Category,FullName,ShortName,address,geometry
Поликлиника взрослая,Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 214 филиал № 3 Департамента здравоохранения города Москвы»,ГБУЗ ГП № 214 филиал № 3 ДЗМ,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Братеево, улица Борисовские Пруды, дом 12, корпус 4",POINT(37.7424373 55.633777838)
Поликлиника взрослая,Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 67 филиал № 1 Департамента здравоохранения города Москвы»,ГБУЗ ГП № 67 филиал № 1 ДЗМ,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Нагатино-Садовники, Высокая улица, дом 19",POINT(37.661373367 55.681396835)
Поликлиника взрослая,Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 218 филиал № 3 Департамента здравоохранения города Москвы»,ГБУЗ ГП № 218 филиал № 3 ДЗМ,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Лосиноостровский, 1-я Напрудная улица, дом 15",POINT(37.692285242 55.879918305)
Поликлиника взрослая,Государственное бюджетное учреждение здравоохранения города Москвы «Научно-практический психоневрологический центр им. З.П. Соловьева филиал № 2 Департамента здравоохранения города Москвы»,ГБУЗ НПЦ им. З.П. Соловьева филиал № 2 ДЗМ,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Красносельский, Пантелеевская улица, дом 10",POINT(37.644362282 55.782425997)
Поликлиника взрослая,Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 214 филиал № 4 Департамента здравоохранения города Москвы»,ГБУЗ ГП № 214 филиал № 4 ДЗМ,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Братеево, Алма-Атинская улица, дом 3, корпус 3",POINT(37.772026582 55.642246999)
Поликлиника взрослая,Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 115 филиал № 1 Департамента здравоохранения города Москвы»,ГБУЗ ГП № 115 филиал № 1 ДЗМ,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Щукино, улица Маршала Новикова, дом 14, корпус 1",POINT(37.462189503 55.805041083)
Поликлиника взрослая,Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 8 филиал № 2 Департамента здравоохранения города Москвы»,ГБУЗ ГП № 8 филиал № 2 ДЗМ,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Тропарево-Никулино, улица 26-ти Бакинских Комиссаров, дом 10, корпус 5",POINT(37.491070522 55.662333972)
Поликлиника взрослая,Государственное бюджетное учреждение здравоохранения города Москвы «Консультативно-диагностический центр № 6 филиал № 7 Департамента здравоохранения города Москвы»,ГБУЗ КДЦ № 6 филиал № 7 ДЗМ,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Лианозово, Псковская улица, дом 11, корпус 2",POINT(37.552334669 55.907474392)
Поликлиника взрослая,Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 12 филиал № 2 Департамента здравоохранения города Москвы»,ГБУЗ ГП № 12 филиал № 2 ДЗМ,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Останкинский, улица Цандера, дом 9, строение 1",POINT(37.629970437 55.819268199)
Поликлиника взрослая,Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 69 филиал № 2 Департамента здравоохранения города Москвы»,ГБУЗ ГП № 69 филиал № 2 ДЗМ,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Перово, улица Плющева, дом 20",POINT(37.760912253 55.740125204)
Поликлиника взрослая,Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 2 филиал № 2Департамента здравоохранения города Москвы»,ГБУЗ ГП № 2 филиал № 2 ДЗМ,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Чертаново Центральное, Чертановская улица, дом 26",POINT(37.593118488 55.621132592)
